name	RunNr	Day1	Month1	Year1	Rain	ETo	GD	CO2	Irri	Infilt	Runoff	Drain	Upflow	E	E/Ex	Tr	TrW	Tr/Trx	SaltIn	SaltOut	SaltUp	SaltProf	Cycle	SaltStr	FertStr	WeedStr	TempStr	ExpStr	StoStr	BioMass	Brelative	HI	Yield	WPet	DayN	MonthN	YearN	prm.file	climate.model	location	rcp	crop	irrigation	soil
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(70)	15	5	2086	1202.6	279	1566.5	810	13.4	1202.6	0	980.5	0	153.8	92	78.9	78.9	100	0	0	0	0	112	0	0	0	6	0	0	18.327	99	30	5.498	2.38	10	9	2086	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(71)	15	5	2087	1187.5	283.8	1568.2	818	29	1187.5	0	959.2	0	164.7	94	82.4	82.4	100	0	0	0	0	109	0	0	0	5	0	0	18.072	99	30	5.422	2.21	6	9	2087	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(72)	15	5	2088	2082.8	291.7	1564.7	827	17.6	2082.8	0	1846.1	0	162.2	96	82.1	82.1	100	0	0	0	0	112	0	0	0	6	0	0	18.469	99	30	5.541	2.29	11	9	2088	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(73)	15	5	2089	1526.9	257.1	1562.6	836	0	1526.9	0	1286.3	0	136.7	97	80.9	80.9	100	0	0	0	0	113	0	0	0	6	0	0	18.369	99	30	5.511	2.55	10	9	2089	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(74)	15	5	2090	1461.9	281.8	1559.1	845	24.4	1461.9	0	1229	0	145.6	87	82	82	100	0	0	0	0	112	0	0	0	6	0	0	18.582	99	30	5.575	2.46	9	9	2090	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(75)	15	5	2091	1483.7	300.1	1559.6	854	78.7	1483.7	0	1308.6	0	176.1	87	77.1	77.1	100	0	0	0	0	106	0	0	0	5	0	0	18.035	99	30	5.41	2.16	3	9	2091	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(76)	15	5	2092	1811.2	307.4	1557.4	863	36.4	1811.2	0	1604.4	0	158.7	90	87.5	87.5	100	0	0	0	0	113	0	0	0	6	0	0	18.317	99	30	5.495	2.23	9	9	2092	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(77)	15	5	2093	1452.6	264	1568.7	872	4.6	1452.6	0	1229.5	0	136.2	98	89.8	89.8	100	0	0	0	0	109	0	0	0	5	0	0	18.072	99	30	5.421	2.43	6	9	2093	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(78)	15	5	2094	1426.8	252.3	1565.3	881	0	1426.8	0	1210.4	0	134.5	98	77.3	77.3	100	0	0	0	0	117	0	0	0	9	0	0	18.463	99	30	5.539	2.64	14	9	2094	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(79)	15	5	2095	1743.4	255.8	1560.1	890	20	1743.4	0	1544.2	0	141.2	96	76.4	76.4	100	0	0	0	0	112	0	0	0	6	0	-0	18.362	99	30	5.509	2.56	9	9	2095	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
